Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
266,0,-0.802556,-0.562534,-1.339836,-729.007507,-793.49353,373.685974
267,0,-0.809859,-0.559878,-1.353575,-728.815674,-793.368286,373.676727
268,0,-0.817081,-0.556989,-1.365095,-729.054199,-793.496033,373.653046
269,0,-0.810477,-0.559581,-1.353541,-728.891296,-793.485107,373.787842
270,0,-0.818308,-0.556759,-1.368257,-728.764771,-793.318481,373.675934
271,0,-0.824663,-0.55359,-1.378407,-729.016907,-793.500244,373.670532
272,0,-0.83181,-0.550426,-1.392869,-728.739868,-793.267578,373.685486
273,0,-0.831502,-0.550951,-1.389822,-729.045044,-793.406189,373.611725
274,0,0.64029,-0.630188,1.153752,-727.822937,-793.13208,373.576935
275,0,0.649682,-0.627464,1.170693,-727.858765,-793.080566,373.637024
276,0,0.660777,-0.623844,1.188624,-727.861084,-793.102478,373.579071
277,0,0.628063,-0.628575,1.133898,-727.505981,-792.734436,373.615997
278,0,0.63394,-0.626285,1.145985,-727.516663,-792.75592,373.644348
279,0,0.641879,-0.623329,1.15822,-727.559998,-792.785522,373.63443
280,0,-0.778407,-0.573324,-1.296204,-729.079712,-793.387451,373.633362
281,0,-0.785831,-0.571214,-1.310433,-728.80719,-793.249207,373.654236
282,0,-0.79367,-0.567211,-1.323901,-728.97168,-793.445435,373.687927
283,0,0.648338,-0.628688,1.167427,-727.793274,-793.110352,373.629181
284,0,0.65858,-0.624655,1.185556,-727.838745,-793.12207,373.573944
285,0,0.666785,-0.622216,1.200243,-727.811462,-793.138245,373.624207
286,0,0.631334,-0.627315,1.140251,-727.46106,-792.776733,373.701721
287,0,0.640282,-0.625172,1.154683,-727.446533,-792.811646,373.738312
288,0,0.645421,-0.6233,1.163124,-727.493591,-792.851685,373.680084
289,0,-0.760895,-0.579216,-1.267872,-728.989197,-793.484192,373.692993
290,0,-0.768345,-0.577088,-1.281314,-728.758667,-793.369568,373.68631
291,0,-0.776344,-0.574247,-1.293788,-728.934692,-793.465271,373.812897
292,0,-0.715209,-0.595214,-1.199183,-729.243774,-793.815735,373.772491
293,0,-0.726844,-0.59087,-1.219112,-729.36377,-793.784607,373.705994
294,0,-0.733838,-0.588774,-1.232071,-729.216309,-793.822998,373.770081
295,0,-0.741876,-0.585647,-1.2457,-729.325073,-793.833984,373.690094
296,0,-0.755711,-0.580117,-1.270798,-729.329041,-793.80957,373.715393
297,0,-0.764028,-0.577178,-1.285382,-729.213806,-793.697571,373.682251
298,0,-0.780445,-0.570317,-1.313189,-729.278442,-793.804016,373.70166
299,0,-0.788678,-0.567079,-1.328545,-729.173767,-793.799377,373.815094
300,0,-0.79649,-0.564606,-1.342953,-729.12616,-793.661499,373.709473
301,0,-0.813488,-0.556028,-1.372508,-729.181396,-793.745789,373.852417
302,0,-0.825461,-0.551243,-1.393006,-729.251038,-793.646484,373.667664
303,0,-0.833737,-0.548473,-1.406654,-729.20697,-793.677063,373.643982
304,0,0.63495,-0.632606,1.14589,-727.792725,-793.162842,373.644623
305,0,0.649753,-0.628164,1.170497,-727.770264,-793.148499,373.614166
306,0,0.659855,-0.623987,1.188344,-727.807434,-793.088867,373.617462
307,0,0.625102,-0.629273,1.130749,-727.442078,-792.729736,373.664124
308,0,0.632554,-0.626697,1.142539,-727.433472,-792.71051,373.667267
309,0,0.640653,-0.624332,1.156127,-727.512329,-792.722229,373.662811
310,0,0.639689,-0.624801,1.154369,-727.552368,-792.759827,373.601532
311,0,0.642836,-0.622924,1.160913,-727.537476,-792.750977,373.636475
312,0,0.650399,-0.621424,1.172759,-727.513428,-792.706421,373.635925
313,0,0.654131,-0.620113,1.179514,-727.516602,-792.763916,373.612701
314,0,0.648311,-0.622383,1.168476,-727.469543,-792.731812,373.660797
315,0,0.64818,-0.62229,1.16911,-727.516968,-792.757751,373.631165
316,0,0.65272,-0.6206,1.176372,-727.504333,-792.772095,373.679108
317,0,0.649671,-0.621693,1.171556,-727.462158,-792.758179,373.674408
318,0,0.654772,-0.62039,1.180049,-727.504272,-792.776672,373.622467
319,0,0.652201,-0.621083,1.175657,-727.494629,-792.810181,373.676605
320,0,0.662946,-0.617562,1.193843,-727.511536,-792.797852,373.680176
321,0,0.65646,-0.619845,1.182402,-727.449097,-792.800659,373.709747
322,0,-0.773963,-0.574542,-1.289384,-728.968811,-793.481567,373.725342
323,0,-0.78154,-0.572119,-1.303644,-728.791626,-793.343872,373.713226
324,0,-0.796975,-0.564566,-1.331323,-729.007812,-793.507996,373.696564
325,0,0.627615,-0.62925,1.132636,-727.473755,-792.811707,373.705017
326,0,0.64289,-0.624439,1.158531,-727.478455,-792.817444,373.674896
327,0,0.635832,-0.6262,1.146829,-727.448669,-792.839233,373.699829
328,0,-0.733489,-0.589647,-1.219141,-728.999512,-793.508423,373.720947
329,0,-0.740699,-0.586908,-1.232164,-728.891052,-793.507446,373.83075
330,0,-0.750283,-0.583677,-1.248183,-728.964966,-793.525818,373.759735
331,0,-0.754597,-0.580116,-1.268622,-729.301147,-793.793518,373.704224
332,0,-0.766347,-0.575536,-1.29023,-729.175598,-793.700562,373.703522
333,0,-0.77524,-0.572713,-1.304488,-729.18335,-793.699341,373.716522
